Country,Household income,Household wealth,Relative income poverty,Difficulty making ends meet,Financial insecurity,Employment rate,Gender wage gap,Long term unemployment rate,Youth not in employment education or training,Long hours in paid work,Earnings,Overcrowding rate,Housing affordability,Housing cost overburden,Poor households without access to basic sanitary facilities,Households with internet access at home,Time off,Long unpaid working hours,Gender gap in working hours,Satisfaction with time use,Life expectancy at birth,Perceived health,"Deaths from suicide, alcohol, drugs",Student skills (reading),Student skills (maths),Student skills (science),Adult skills (numeracy),Adult skills (literacy),Social support,Time spent in social interactions,Satisfaction with personal relationships,Voter turnout,Air pollution,Homicides,Feeling safe at night,Road deaths,Life satisfaction,Negative affect balance
Australia,"35386.00","277824.00s",12.40 ,..,43.30 ,77.19 ,11.70 ,1.06 ,8.84 ,12.54 ,"53,515.00 ",..,80.21 ,20.08 ,..,..,..,..,82.80 ,..,..,..,502.63 ,11.22 ,491.36 ,11.22 ,502.96 ,11.22 ,..,..,93.28 ,5.94 ,..,..,..,..,0.00 ,0.90 ,64.92 ,33.29 ,4.54 ,..,..,10.72
Austria,"33661.00 ",..,9.40 ,11.30 ,..,77.18 ,14.90 ,1.42 ,9.22 ,6.59 ,"53,325.00 ",10.86 ,79.10 ,11.71 ,3.97 ,87.69 ,7.30 ,22.45 ,81.80 ,71.70 ,8.10 ,..,484.39 ,13.51 ,498.94 ,13.51 ,489.78 ,13.51 ,..,..,90.56 ,8.77 ,..,8.58 ,6.46 ,..,83.83 ,0.60 ,83.64 ,15.85 ,4.64 ,8.00 ,2.83 ,14.05
Belgium,"31625.00 ",..,8.20 ,19.10 ,..,72.98 ,3.40 ,2.92 ,9.43 ,4.56 ,"55,388.00 ",4.55 ,79.78 ,17.34 ,2.59 ,83.73 ,7.01 ,19.91 ,81.70 ,74.90 ,8.70 ,..,492.86 ,12.49 ,508.07 ,12.49 ,498.77 ,12.49 ,..,..,92.11 ,6.95 ,..,7.92 ,6.45 ,..,93.22 ,..,64.77 ,33.35 ,5.30 ,7.60 ,3.33 ,16.09
Canada,"31170.00 ",..,11.80 ,..,..,77.19 ,18.50 ,0.60 ,10.01 ,3.60 ,"53,730.00 ",..,77.42 ,..,..,88.20 ,..,..,82.00 ,88.60 ,2.90 ,..,520.09 ,6.37 ,512.02 ,6.37 ,518.00 ,6.37 ,..,..,91.73 ,7.68 ,..,..,..,..,1.50 ,..,82.14 ,17.35 ,5.23 ,8.10 ,2.50 ,11.86
Chile,..,..,..,..,..,72.58 ,..,..,..,8.98 ,"28,574.00 ",..,81.58 ,..,..,..,..,..,80.40 ,..,..,..,452.27 ,23.47 ,417.41 ,23.47 ,443.58 ,23.47 ,..,..,88.75 ,10.96 ,..,..,..,..,98.69 ,2.40 ,47.39 ,51.55 ,10.54 ,..,..,13.75
Colombia,..,..,..,..,..,74.86 ,5.80 ,1.01 ,22.91 ,25.89 ,..,..,..,..,..,..,..,..,76.50 ,80.60 ,1.30 ,..,412.30 ,39.93 ,390.93 ,39.93 ,413.32 ,39.93 ,..,..,86.59 ,12.83 ,..,..,..,49.00 ,99.32 ,..,48.20 ,50.21 ,13.74 ,8.26 ,2.90 ,13.37
Costa Rica,..,..,20.90 ,..,..,69.65 ,4.70 ,1.51 ,21.81 ,25.85 ,..,..,..,..,..,..,..,..,80.40 ,..,..,..,..,33.55 ,..,33.55 ,..,33.55 ,..,..,86.90 ,12.32 ,..,..,..,65.56 ,99.87 ,..,43.55 ,54.66 ,..,..,..,12.69
Czech Republic,"23619.00 ",..,6.10 ,16.20 ,..,82.51 ,15.10 ,0.73 ,5.79 ,5.62 ,"29,421.00 ",12.24 ,76.05 ,4.85 ,1.51 ,85.77 ,6.87 ,29.73 ,79.10 ,62.00 ,10.70 ,..,490.22 ,10.52 ,499.47 ,10.52 ,496.79 ,10.52 ,..,..,91.69 ,6.99 ,..,8.30 ,8.77 ,..,99.73 ,0.50 ,72.39 ,23.64 ,6.20 ,7.44 ,5.76 ,12.28
Denmark,"30423.00 ",..,6.40 ,9.30 ,..,79.11 ,4.90 ,1.02 ,9.06 ,1.86 ,"57,794.00 ",8.78 ,76.31 ,23.63 ,1.91 ,90.30 ,7.53 ,19.59 ,81.00 ,71.10 ,7.50 ,..,501.13 ,8.14 ,509.40 ,8.14 ,492.64 ,8.14 ,..,..,95.67 ,4.17 ,..,8.24 ,10.28 ,..,41.15 ,0.50 ,87.06 ,12.04 ,2.96 ,7.76 ,7.91 ,8.20
Estonia,"20880.00 ",..,16.30 ,13.90 ,..,80.43 ,17.30 ,1.35 ,10.67 ,2.70 ,"27,920.00 ",8.01 ,83.05 ,12.39 ,13.57 ,89.29 ,6.95 ,26.69 ,78.40 ,51.60 ,14.70 ,27.48 ,523.02 ,4.22 ,523.41 ,4.22 ,530.11 ,4.22 ,..,..,91.22 ,6.58 ,..,7.89 ,13.31 ,..,0.00 ,2.00 ,74.89 ,16.61 ,..,7.01 ,8.09 ,9.95
Finland,"30227.00 ",..,6.50 ,6.10 ,..,78.05 ,18.90 ,1.70 ,9.67 ,3.90 ,"45,771.00 ",8.85 ,76.84 ,20.56 ,1.85 ,93.00 ,7.78 ,11.65 ,81.80 ,68.80 ,5.70 ,..,520.08 ,7.01 ,507.30 ,7.01 ,521.88 ,7.01 ,..,..,95.93 ,3.77 ,..,8.42 ,4.24 ,..,0.00 ,1.20 ,87.57 ,11.34 ,4.34 ,8.12 ,1.94 ,7.92
France,"31403.00 ",..,8.50 ,18.30 ,..,73.47 ,11.80 ,3.70 ,13.18 ,7.70 ,"46,867.00 ",6.38 ,79.25 ,9.69 ,1.42 ,81.31 ,6.92 ,24.07 ,82.80 ,67.50 ,8.40 ,..,492.61 ,12.52 ,495.41 ,12.52 ,492.98 ,12.52 ,..,..,91.38 ,7.79 ,..,7.94 ,8.60 ,..,71.59 ,..,73.48 ,24.83 ,5.02 ,7.25 ,5.56 ,17.03
Germany,"34800.00 ",..,9.80 ,5.90 ,..,81.30 ,15.30 ,1.43 ,6.99 ,3.92 ,"53,221.00 ",..,80.02 ,9.68 ,0.00 ,90.25 ,6.69 ,30.71 ,81.00 ,65.50 ,8.40 ,..,498.28 ,12.82 ,500.04 ,12.82 ,502.99 ,12.82 ,..,..,90.82 ,7.92 ,..,7.88 ,13.56 ,..,88.72 ,0.40 ,74.46 ,23.86 ,3.96 ,7.40 ,8.50 ,12.49
Greece,"18423.00 ","92918.00 ",12.10 ,74.10 ,69.71 ,62.29 ,5.90 ,13.68 ,15.14 ,5.73 ,"26,680.00 ",17.97 ,77.42 ,31.21 ,0.67 ,76.13 ,5.55 ,50.97 ,81.90 ,76.20 ,9.30 ,..,457.41 ,19.87 ,451.37 ,19.87 ,451.63 ,19.87 ,..,..,78.95 ,20.55 ,..,7.08 ,28.95 ,..,97.08 ,1.00 ,57.49 ,41.88 ,6.52 ,6.44 ,12.73 ,17.50
Hungary,"20234.00 ",..,8.70 ,34.70 ,..,76.97 ,5.10 ,1.48 ,11.42 ,2.79 ,"23,721.00 ",12.55 ,81.30 ,18.52 ,17.73 ,82.87 ,6.37 ,33.29 ,76.20 ,60.60 ,11.90 ,..,475.99 ,15.46 ,481.08 ,15.46 ,480.91 ,15.46 ,..,..,93.51 ,5.91 ,..,7.58 ,15.20 ,69.67 ,100.00 ,1.10 ,65.26 ,26.99 ,6.48 ,6.51 ,13.85 ,17.21
Iceland,..,..,..,11.10 ,..,84.75 ,12.90 ,0.43 ,6.14 ,14.60 ,"72,466.00 ",9.19 ,..,22.72 ,0.00 ,97.02 ,7.44 ,21.41 ,82.90 ,76.60 ,5.90 ,19.16 ,473.97 ,13.71 ,495.19 ,13.71 ,475.02 ,13.71 ,..,..,..,..,..,8.08 ,10.36 ,..,3.47 ,0.30 ,..,..,5.17 ,7.92 ,3.56 ,..
Ireland,"26944.00 ","178213.00 ",7.40 ,20.90 ,56.89 ,75.33 ,8.30 ,2.21 ,9.60 ,5.06 ,"48,586.00 ",1.83 ,78.88 ,9.90 ,0.17 ,88.10 ,7.50 ,18.65 ,82.30 ,84.10 ,3.30 ,..,518.08 ,7.49 ,499.63 ,7.49 ,496.11 ,7.49 ,..,..,93.61 ,6.20 ,..,8.64 ,5.02 ,..,0.60 ,..,77.76 ,21.19 ,2.84 ,8.10 ,3.95 ,8.97
Israel,..,..,16.90 ,..,..,77.50 ,22.70 ,0.29 ,12.74 ,16.26 ,"38,811.00 ",..,..,..,..,..,..,..,82.90 ,73.90 ,10.80 ,..,470.42 ,22.08 ,463.03 ,22.08 ,462.20 ,22.08 ,..,..,89.15 ,8.86 ,..,..,..,..,100.00 ,1.50 ,75.15 ,23.78 ,3.56 ,..,..,18.89
Italy,"26749.00 ",..,14.20 ,30.30 ,..,65.85 ,5.70 ,6.39 ,19.79 ,4.14 ,"39,985.00 ",18.93 ,77.49 ,18.01 ,0.79 ,82.80 ,6.66 ,23.05 ,83.40 ,73.30 ,6.80 ,..,476.28 ,13.77 ,486.59 ,13.77 ,468.01 ,13.77 ,..,..,90.68 ,8.68 ,..,7.55 ,9.27 ,72.93 ,92.92 ,..,63.71 ,33.83 ,5.51 ,7.07 ,7.98 ,29.53
Japan,"29801.00 ",..,15.70 ,..,..,82.79 ,23.50 ,0.82 ,5.24 ,..,"38,462.00 ",1.64 ,78.38 ,19.18 ,..,..,..,..,84.30 ,..,..,..,503.86 ,6.42 ,526.97 ,6.42 ,529.14 ,6.42 ,..,..,87.76 ,11.24 ,..,..,..,..,97.66 ,0.20 ,75.73 ,20.63 ,3.29 ,..,..,8.01
Korea,"24191.00 ",..,16.70 ,..,..,74.05 ,34.10 ,0.05 ,..,..,"41,624.00 ",6.43 ,85.15 ,..,2.12 ,99.48 ,..,..,82.70 ,32.00 ,17.20 ,..,514.05 ,7.55 ,525.93 ,7.55 ,519.01 ,7.55 ,..,..,78.87 ,20.00 ,..,..,..,..,99.45 ,0.70 ,72.89 ,24.76 ,7.33 ,6.10 ,12.20 ,15.38
Latvia,"18195.00 ",..,17.50,32.10,..,78.23,20.30,3.17,8.51,1.72,"27,107.00 ",34.21,79.44,7.20,21.88,78.79,..,..,..,7.00,22.30,74.90,46.90,15.50,..,478.70,9.16,496.13,9.16,487.25,9.16,..,..,88.15,8.37,..,7.75,11.24,54.58,72.77,3.70,58.19,34.39,..,6.74,10.11,17.45
Lithuania,"23314.00 ",..,15.50 ,23.40 ,..,80.37 ,11.70 ,2.04 ,9.00 ,0.56 ,"27,572.00 ",15.09 ,80.76 ,8.66 ,30.88 ,77.89 ,..,..,..,6.14 ,39.68 ,75.80 ,44.00 ,15.80 ,40.12 ,475.87 ,13.87 ,481.19 ,13.87 ,482.07 ,13.87 ,..,..,86.10 ,6.55 ,..,7.85 ,16.20 ,..,53.09 ,2.50 ,69.01 ,22.51 ,6.16 ,6.38 ,17.88 ,17.25
Luxembourg,"42014.00 ","528440.00 ",11.40 ,12.80 ,38.38 ,74.90 ,-3.10 ,1.39 ,5.98 ,2.77 ,"67,448.00 ",8.08 ,79.15 ,19.55 ,0.23 ,92.87 ,..,..,..,7.03 ,24.13 ,82.40 ,68.60 ,10.20 ,..,469.99 ,17.41 ,483.42 ,17.41 ,476.77 ,17.41 ,..,..,88.98 ,9.65 ,..,7.81 ,9.83 ,89.66 ,68.56 ,0.20 ,83.53 ,15.95 ,5.98 ,7.56 ,4.25 ,11.81
Mexico,"15371.00 ",..,15.90 ,..,..,68.94 ,14.00 ,0.05 ,18.18 ,28.72 ,"16,637.00 ",33.19 ,81.52 ,9.44 ,62.00 ,52.64 ,..,..,..,..,..,75.00 ,..,..,..,420.47 ,35.03 ,408.80 ,35.03 ,419.20 ,35.03 ,..,..,85.72 ,14.18 ,..,..,..,63.21 ,99.48 ,..,42.00 ,57.55 ,..,..,..,7.82
Netherlands,"31535.00 ",..,7.80 ,10.00 ,..,80.28 ,12.70 ,1.45 ,5.49 ,0.51 ,"57,581.00 ",4.28 ,80.47 ,14.19 ,0.07 ,97.41 ,..,..,..,7.23 ,13.04 ,81.90 ,75.60 ,4.70 ,..,484.78 ,10.80 ,519.23 ,10.80 ,503.38 ,10.80 ,..,..,93.85 ,6.05 ,..,7.93 ,4.97 ,..,99.06 ,0.60 ,84.61 ,15.20 ,..,7.70 ,3.26 ,8.61
New Zealand,..,"218212.00 ",..,..,49.90 ,82.97 ,7.90 ,0.61 ,8.98 ,15.41 ,"44,121.00 ",0.82 ,..,..,..,..,..,..,..,..,..,81.80 ,87.50 ,2.40 ,..,505.73 ,10.89 ,494.49 ,10.89 ,508.49 ,10.89 ,..,..,95.23 ,4.61 ,..,..,..,..,0.00 ,..,69.09 ,29.22 ,7.74 ,7.70 ,4.50 ,7.01
Norway,"34,560.00 ","125839.00 ",8.40 ,6.30 ,25.70 ,80.81 ,5.10 ,1.06 ,6.51 ,2.87 ,"54,691.00 ",7.37 ,82.09 ,17.58 ,0.00 ,94.09 ,..,..,..,7.52 ,19.07 ,82.80 ,76.60 ,7.70 ,..,499.45 ,11.26 ,500.96 ,11.26 ,490.41 ,11.26 ,..,..,96.57 ,3.40 ,..,8.54 ,5.76 ,..,0.75 ,..,93.01 ,6.62 ,2.04 ,7.98 ,3.89 ,10.15
Poland,"21489.00 ",..,9.80 ,18.60 ,..,73.97 ,11.50 ,1.05 ,9.37 ,5.59 ,"30,212.00 ",30.65 ,78.13 ,15.66 ,10.21 ,79.33 ,..,..,..,6.87 ,27.17 ,77.70 ,59.10 ,12.80 ,..,511.86 ,6.70 ,515.65 ,6.70 ,511.04 ,6.70 ,..,..,83.76 ,13.25 ,..,8.13 ,8.52 ,..,99.99 ,0.50 ,73.91 ,20.76 ,7.54 ,7.78 ,3.67 ,11.51
Portugal,"22405.00 ",..,10.40 ,29.20 ,..,78.03 ,11.70 ,3.17 ,10.26 ,7.13 ,"27,263.00 ",5.14 ,80.51 ,13.45 ,3.54 ,76.93 ,..,..,..,6.38 ,36.71 ,81.40 ,49.30 ,15.50 ,..,491.80 ,12.64 ,492.49 ,12.64 ,491.68 ,12.64 ,..,..,88.47 ,11.26 ,..,8.20 ,9.49 ,..,15.54 ,0.70 ,78.97 ,18.26 ,6.56 ,6.69 ,12.62 ,18.33
Slovak Republic,"21859.00 ",..,7.70 ,25.40 ,..,75.04 ,15.70 ,3.84 ,11.00 ,3.97 ,"22,692.00 ",25.75 ,72.87 ,8.51 ,10.56 ,78.99 ,..,..,..,6.60 ,35.19 ,77.40 ,66.60 ,12.00 ,..,457.98 ,16.95 ,486.16 ,16.95 ,464.05 ,16.95 ,..,..,89.88 ,7.56 ,..,8.23 ,11.20 ,..,100.00 ,..,67.51 ,28.35 ,..,7.10 ,11.03 ,14.25
Slovenia,"22658.00 ",..,7.50 ,20.50 ,..,77.19 ,8.20 ,2.23 ,7.17 ,4.23 ,"39,377.00 ",9.41 ,81.65 ,10.05 ,1.01 ,86.68 ,..,..,..,7.19 ,24.26 ,81.50 ,65.40 ,9.70 ,..,495.35 ,8.03 ,508.90 ,8.03 ,507.01 ,8.03 ,..,..,93.88 ,5.89 ,..,8.56 ,5.55 ,52.64 ,99.96 ,0.70 ,90.43 ,9.16 ,4.40 ,7.31 ,6.05 ,17.84
Spain,..,"168037.00 ",14.20 ,27.10 ,38.96 ,69.52 ,8.60 ,6.41 ,15.32 ,3.77 ,"39,033.00 ",2.67 ,77.93 ,24.11 ,0.35 ,86.12 ,..,..,..,6.85 ,24.36 ,83.50 ,73.60 ,7.40 ,..,..,..,481.39 ,..,483.25 ,..,..,..,90.47 ,8.91 ,..,8.25 ,5.68 ,..,47.90 ,..,84.05 ,15.49 ,3.87 ,7.30 ,6.12 ,25.10
Sweden,"31863.00 ",..,8.90 ,8.00 ,..,84.69 ,7.10 ,0.93 ,8.49 ,0.97 ,"45,917.00 ",14.50 ,79.85 ,21.66 ,0.00 ,91.36 ,..,..,..,7.35 ,23.42 ,82.60 ,76.10 ,5.70 ,..,505.79 ,10.49 ,502.39 ,10.49 ,499.44 ,10.49 ,..,..,92.76 ,6.91 ,..,8.54 ,5.85 ,87.18 ,1.90 ,1.10 ,77.10 ,20.17 ,3.20 ,7.80 ,4.69 ,8.00
Switzerland,"37483.00 ",..,10.50 ,12.10 ,..,83.43 ,15.10 ,1.92 ,7.24 ,0.41 ,"64,963.00 ",5.35 ,78.55 ,15.72 ,0.61 ,..,..,..,..,7.46 ,18.67 ,83.80 ,80.70 ,4.30 ,..,483.93 ,10.69 ,515.31 ,10.69 ,495.28 ,10.69 ,..,..,92.05 ,6.90 ,..,8.62 ,4.28 ,..,54.96 ,..,89.24 ,10.38 ,2.75 ,7.96 ,3.70 ,10.42
Turkey,..,..,14.40 ,13.60 ,..,56.75 ,10.00 ,2.51 ,22.92 ,29.82 ,..,..,..,..,..,82.49 ,..,..,..,..,..,78.30 ,67.60 ,9.90 ,..,465.63 ,17.11 ,453.51 ,17.11 ,468.30 ,17.11 ,..,..,84.07 ,15.18 ,..,..,..,86.22 ,99.87 ,..,56.84 ,40.74 ,..,5.70 ,..,28.66
United Kingdom,"30468.00 ",..,11.70 ,12.80 ,..,79.34 ,16.30 ,1.07 ,12.04 ,12.01 ,"47,229.00 ",..,76.51 ,27.56 ,0.57 ,94.82 ,..,..,..,7.07 ,25.19 ,81.30 ,73.20 ,7.50 ,..,503.93 ,9.02 ,501.77 ,9.02 ,504.67 ,9.02 ,..,..,92.43 ,7.12 ,..,8.48 ,6.12 ,..,56.36 ,..,79.33 ,19.72 ,2.77 ,7.60 ,6.04 ,8.66
United Kingdom-England,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom-Northern Ireland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.92 ,..,..,..
United States,..,..,18.10 ,..,..,75.30 ,18.90 ,0.53 ,11.48 ,11.15 ,"65,303.00 ",4.19 ,82.36 ,28.12 ,0.00 ,..,14.57 ,13.26 ,25.37 ,..,..,78.70 ,87.90 ,2.60 ,..,505.35 ,12.65 ,478.24 ,12.65 ,502.38 ,12.65 ,11.57 ,1.50 ,90.35 ,9.61 ,5.06 ,..,..,56.84 ,6.85 ,..,72.38 ,26.40 ,11.28 ,..,..,13.46
Non-OECD Economies,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Non-OECD Economies-Brazil,..,..,..,..,..,67.74 ,..,..,24.15 ,6.78 ,..,..,..,..,..,59.33 ,..,..,..,..,..,75.70 ,..,..,..,..,43.21 ,..,43.21 ,..,43.21 ,..,..,87.23 ,11.73 ,..,..,..,79.80 ,81.18 ,24.80 ,33.60 ,65.80 ,..,..,..,18.14
Russia,"17774.00",..,..,34.90 ,..,78.18 ,..,1.38 ,10.20 ,0.15 ,..,..,82.27 ,..,..,..,..,..,..,..,..,72.80 ,..,..,..,..,11.19 ,..,11.19 ,..,11.19 ,..,..,88.83 ,8.92 ,..,..,..,..,70.48 ,..,57.47 ,32.54 ,..,..,..,15.32
South Africa,..,..,..,..,..,54.97 ,..,16.83 ,31.56 ,17.53 ,..,..,..,..,..,..,..,..,..,..,..,63.90 ,..,..,..,..,..,..,..,..,..,..,..,84.09 ,15.86 ,..,..,..,..,100.00 ,..,31.48 ,67.54 ,..,..,..,13.06
